S|P|O
cocaine|positively_regulates|Camellia_sinensis_leaf
cocaine|treats|autosomal recessive limb-girdle muscular dystrophy type 2Q
autosomal recessive limb-girdle muscular dystrophy type 2Q|has_phenotype|Abnormality of the respiratory system
